muscle length,tension (Pa),max muscle length,normalized muscle length,normalized tension
37.3993808,0,73.43653251,0.509274874,0
38.39009288,0,,0.522765599,0
39.38080495,-0.235294118,max tension,0.536256324,-0.001976285
40.37151703,-0.235294118,119.0588235,0.549747049,-0.001976285
41.42414861,0,,0.564080944,0
42.91021672,-0.235294118,,0.584317032,-0.001976285
43.40557276,-0.235294118,,0.591062395,-0.001976285
44.45820433,0,,0.60539629,0
45.20123839,-0.235294118,,0.615514334,-0.001976285
45.3869969,0,,0.618043845,0
46.43962848,-0.235294118,,0.63237774,-0.001976285
46.6873065,-0.235294118,,0.635750422,-0.001976285
47.12074303,-0.235294118,,0.641652614,-0.001976285
47.49226006,0,,0.646711636,0
47.61609907,0,,0.648397976,0
48.23529412,0,,0.65682968,0
48.97832817,0,,0.666947723,0
49.65944272,0.470588235,,0.676222597,0.003952569
50.27863777,0.235294118,,0.6846543,0.001976285
50.7120743,0.235294118,,0.690556492,0.001976285
50.58823529,-0.235294118,,0.688870152,-0.001976285
51.51702786,0.705882353,,0.701517707,0.005928854
51.64086687,0,,0.703204047,0
51.9504644,0,,0.707419899,0
52.26006192,0,,0.71163575,0
52.63157895,-0.235294118,,0.716694772,-0.001976285
52.81733746,0.705882353,,0.719224283,0.005928854
53.56037152,0.941176471,,0.729342327,0.007905138
53.43653251,0.235294118,,0.727655987,0.001976285
53.74613003,0.470588235,,0.731871838,0.003952569
54.11764706,0.941176471,,0.73693086,0.007905138
54.6130031,0.705882353,,0.743676223,0.005928854
55.41795666,0.235294118,,0.754637437,0.001976285
55.72755418,1.882352941,,0.758853288,0.015810277
55.9752322,0.705882353,,0.76222597,0.005928854
56.16099071,0,,0.764755481,0
56.47058824,0,,0.768971332,0
56.84210526,1.647058824,,0.774030354,0.013833992
57.2755418,2.588235294,,0.779932546,0.02173913
57.83281734,2.823529412,,0.787521079,0.023715415
57.52321981,0.705882353,,0.783305228,0.005928854
57.95665635,1.411764706,,0.78920742,0.011857708
58.32817337,1.882352941,,0.794266442,0.015810277
58.88544892,2.352941176,,0.801854975,0.019762846
59.50464396,2.588235294,,0.810286678,0.02173913
58.45201238,2.823529412,,0.795952782,0.023715415
58.39009288,4.235294118,,0.795109612,0.035573123
58.88544892,4.470588235,,0.801854975,0.037549407
59.31888545,4.941176471,,0.807757167,0.041501976
59.38080495,5.882352941,,0.808600337,0.049407115
59.81424149,5.647058824,,0.81450253,0.04743083
59.81424149,4.705882353,,0.81450253,0.039525692
60.61919505,8.470588235,,0.825463744,0.071146245
60.99071207,7.529411765,,0.830522766,0.063241107
61.3003096,4,,0.834738617,0.033596838
62.22910217,6.352941176,,0.847386172,0.053359684
62.10526316,8,,0.845699831,0.067193676
62.29102167,8.941176471,,0.848229342,0.075098814
62.47678019,7.764705882,,0.850758853,0.065217391
62.10526316,10.35294118,,0.845699831,0.086956522
61.3622291,11.29411765,,0.835581788,0.09486166
61.3622291,14.58823529,,0.835581788,0.122529644
62.35294118,17.17647059,,0.849072513,0.144268775
63.21981424,15.76470588,,0.860876897,0.132411067
63.34365325,19.05882353,,0.862563238,0.160079051
63.65325077,19.52941176,,0.866779089,0.164031621
63.28173375,6.352941176,,0.861720067,0.053359684
62.97213622,7.294117647,,0.857504216,0.061264822
62.84829721,9.411764706,,0.855817875,0.079051383
64.52012384,25.88235294,,0.878583474,0.217391304
63.40557276,23.05882353,,0.863406408,0.193675889
63.65325077,21.64705882,,0.866779089,0.181818182
63.40557276,24.70588235,,0.863406408,0.207509881
63.15789474,25.41176471,,0.860033727,0.213438735
63.71517028,24.70588235,,0.86762226,0.207509881
63.65325077,26.58823529,,0.866779089,0.223320158
63.71517028,28.70588235,,0.86762226,0.241106719
63.9628483,29.17647059,,0.870994941,0.245059289
64.95356037,33.41176471,,0.884485666,0.280632411
65.69659443,31.52941176,,0.89460371,0.264822134
65.63467492,28.70588235,,0.89376054,0.241106719
65.88235294,27.52941176,,0.897133221,0.231225296
66.56346749,33.41176471,,0.906408094,0.280632411
66.43962848,34.11764706,,0.904721754,0.286561265
64.76780186,39.76470588,,0.881956155,0.333992095
64.76780186,45.64705882,,0.881956155,0.383399209
65.75851393,44.94117647,,0.89544688,0.377470356
65.01547988,56.47058824,,0.885328836,0.4743083
65.69659443,57.88235294,,0.89460371,0.486166008
66.31578947,55.76470588,,0.903035413,0.468379447
67.49226006,58.82352941,,0.919055649,0.494071146
67.43034056,60.94117647,,0.918212479,0.511857708
68.35913313,57.41176471,,0.930860034,0.482213439
68.85448916,59.76470588,,0.937605396,0.501976285
70.03095975,61.41176471,,0.953625632,0.515810277
66.87306502,68.70588235,,0.910623946,0.577075099
67.80185759,69.17647059,,0.923271501,0.581027668
68.85448916,68.94117647,,0.937605396,0.579051383
70.09287926,71.29411765,,0.954468803,0.598814229
71.33126935,72,,0.971332209,0.604743083
68.23529412,73.41176471,,0.929173693,0.616600791
68.79256966,74.35294118,,0.936762226,0.624505929
68.48297214,74.35294118,,0.932546374,0.624505929
67.05882353,77.41176471,,0.913153457,0.650197628
69.47368421,84.23529412,,0.946037099,0.707509881
69.04024768,86.11764706,,0.940134907,0.723320158
70.40247678,94.35294118,,0.958684654,0.792490119
71.45510836,109.4117647,,0.97301855,0.918972332
72.44582043,119.0588235,,0.986509275,1
73.43653251,118.1176471,,1,0.992094862
